SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
diphenylthiocarbazone  diphizone,Consumable,No,General,0,60,Notes,Ok,Unknown,1960-10-06,#389,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
distilled white vinegar distilled white vinegar  acetic acid (5%),Consumable,No,General,0,60,Notes,Ok,Unknown,64-19-7,#77,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
dolomitic hydrated lime  ,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#603,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
edta ethlyenediamine tetraacetic acide  dipotassium edta,Consumable,No,General,0,60,Notes,Ok,Unknown,2001-94-7,#719,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
ethanedioic acid   oxalic acid dihydrate,Consumable,No,General,265,60,Notes,Ok,Unknown,6153-56-6,#696,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
ethyl acetate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,141-78-6,#727,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
ethyl alcohol ethyl alcohol  ethanol  alcohol,Consumable,No,General,105,60,Notes,Ok,Unknown,64-17-5,#544,1,Flammable Cabinet,2017,Thu Apr 14 2016 at 12:42 PM
ethylene glycol ethylene glycol  1 2 ethanediol,Consumable,No,General,100,60,Notes,Ok,Unknown,107-21-1,#441,1,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
fluorescein  ,Consumable,No,General,0,60,Notes,Ok,Unknown,2321-07-05,#398,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
formaldehyde formaldehyde methyl aldehyde  formalin,Consumable,No,General,0,60,Notes,Ok,Unknown,50-00-0,#540,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
formic acid  ,Consumable,No,General,0,60,Notes,Ok,Unknown,64-18-6,#709,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
fructose solution  ,Consumable,No,General,0,60,Notes,Ok,Unknown,57-48-7,#543,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
gibberellic acid  ,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#539,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
glucose dextrose,Consumable,No,General,0,60,Notes,Ok,Unknown,50-99-7,#538,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
glycerin 1 2 3 propanetriol  glycerol,Consumable,No,General,100,60,Notes,Ok,Unknown,56-40-6,#413  711 - Glycerol,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
graphite  ,Consumable,No,General,12,60,Notes,Ok,Unknown,7782-42-5,#839 in Caretaking - LITH-X,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
gum arabic solution  ,Consumable,No,General,0,60,Notes,Ok,Unknown,9000-01-05,Approved List - No MSDS online,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
helium helium gas,Consumable,No,General,0,60,Notes,Ok,Unknown,7440-59-7,#166,0,Compressed Gas - Secured Cylinders,1044A,Thu Apr 14 2016 at 12:42 PM
heptane  ,Consumable,No,General,0,60,Notes,Ok,Unknown,142-82-5,#728,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
hexane  ,Consumable,No,General,1,60,Notes,Ok,Unknown,110-54-3,#378,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
